Komentar,Value
review ipad air,0
moga baca,1
bahas nokia dooong,0
redmi note pro rilis,0
anboxsing iphoneflip,0
thanks for watching and commenting telegram me to claim your prize,1
review vivo,0
rekomendasiin hp jt bawah lancar main game berat,0
hp mahal hp murah spek gaming,0
sadar hamba tuhan haluan,1
slot kk kah,0
coba solana saga napa,1
nyadar gakali video ga terang teks,0
penasaran hp juta kemarin xioami bongkar ken tau kamera beneran biji biji,0
rekomendasi hp android iphone,0
bahas asus zenfone,0
pliss,0
ngikuti chanel abang gak telat nonton hadiah biar berkah murah aja,1
hallo guys slinggggggggg siniiii,0
ngomong harga jt tim dang mending dah,0
uda hp cina gk tahan air mahal pulak tu mending samsung harga juta uda tahan air,0
gan agan saran hp performa baik jt geming,0
emang gtu indonesia mao keluarin bas juta slain iphone nd samsung,0
review tws udh pilih,0
beli hias anak bini juta beli hp mas mudah qobul hajat sperti teman beli hp mahal mudah sukses dunia youtube,0
mending beli motor hp bas juta gitu mah,0
moga gw ken ganti upgrade hp tolong riview hp jtjuta dikit,0
spek mantap chipsetbaru nabung sih btw usaha ngumpulin minimal juta amin moga sih amin,0
tolong bahas brand xiaomi realme infinix,0
pin biar ibu bangga,0
unboxing nokia donk baru,0
davidmo donk,0
stelah hp revew djual lg gk hp,0
donk klu djual lg,0
hehehehe,0
irsal yuniar nama type xiomay kualitas dewa milih iphone segi apa lawak biawak,0
eren jaeger xiaomi druun,0
buta lau dg xiaomi spek dewa harga jangkau,0
irsal yuniar hape spek lu sebutin,0
muh rafli bayang harga segitu mahal spek maximal,0
main teknik marketing,0
target loh bro,0
nunggu samsung galaxy flip,0
pro sayang video kamera,0
tengah konten rekomen hp tengah tahun,0
hp nganggur,0
video cakep banget,0
mix fold,0
coba bahas hp mantan flagship,0
doain daftar indomaret moga terimaa,0
wibu pake topi cuk,0
antengs oke makasihh,1
kek vivo kalo biarin menggilaaa,1
unboxing asus zenfone penasaran hp compact,1
tips layar renot pro responsif touch delay parah banget ngetik aja susah,1
tips layar renot responsif touch delay parah banget ngetik aja susah,1
realme,1
mantap vivo,0
gmn hpnya enak gak performa,1
coba review iphone pstre,1
uji pake hape juta,1
httpsyoutubeyqvcdjsge,1
murah,1
tuju,1
review tecno pova,1
tolong review ferdi sambo,1
hahahaha,1
good,1
oke,1
joss,1
up,1
orang manggil ga make kacamata,1
bangkapan bahas oppo ken banget denger abang review,0
aplikasiofficial,1
bismillah,1
aamiin,1
tetep mahal,1
duitt tu lumayan,1
mantap banget vivo,0
wubba lubba dub dub,1
review,0
selamat doa kabul,1
up,1
kejar target siap anak lahir,1
ehe,1
intel core duo ghz,1
nvidia geforce,1
hdd gb,1
ram gb ddr,1
gak bosen nonton konten,0
tumben sepi,1
lu ngga sanggup beli wkwk,1
sukses smoga ikut semangat chanel,0
infinix note,1
hmmm,1
nice,1
linkhttpsyoutubewasajospte,1
yup,1
ush susah susah bedain pro reguler ny sm sm mahal,1
review nokia xpressaudio,1
mantab,1
httpsyoutubefcbwuxtjg,1
mantap,1
cek harga vivo,1
httpsshopeeetqykkhu,1
cakep,1
yok yok,1
hadirrrr,1
pixie,1
makasih,1
ngapain tu orang beli vivo mahal kena genjutsu level hokage kah,1
canda doang singgung kwkwkkw,1
nunggu second dah jtan,1
halo guys vivo,1
last fight httpsyoutubegnqxoom,1
last fight httpsyoutubeyrjhjmbko,1
assalamualaikum,1
last fight httpsyoutubeiceehtwdwc,1
revanda anugerah beli kudu nguli bosqyu ngap ngapan hahaha,1
httpsyoutubejpjvsshym,1
wajib pin,1
mmmm iya,1
blog,1
yey,1
bertama viwer,1
telat mnit,1
nonton,1
wtf,1
absen,1
kelaz,1
mantap,1
doain orang cepet sembuh sakit,1
aja doain dosa nggak kurang,1
amin,1
uo,1
subrerek ygs,1
uda rame anjir,1
menit lo,1
menit dah puluh komen,1
jir cepet bat komen,1
gg,1
halo tonton,1
detik,1
tim gerjep,1
first,1
biang,1
gg sih,1
hadir,1
gw garcep,1
empat,1
pertamax,1
hai,1
here before that timestamps guy,1
tasikmalaya hadir,1
anjay,1
istilah ente kadang,1
halo ges,1
hallo kk,1
wow,1
halo,1
lampung hadir,1
pansos,1
nyimak,1
hlooo,1
asikkkkk semangat ngab,1
hahahahah sapa,1
halo,1
hehe,1
kira,1
hi,1
hm,1
frist,1
halo,1
hi,1
keduaa wkwk,1
sapa,1
hadir,1
hiyyah,1
one,1
detik,1
iya,1
first,1
firts,1
ratus,1
bajigur,1
ey,1
nt,1
pertana,1
jacky yy anjass,1
terima kasih,1
kerenn,1
waw,1
httpsyoutubehkhbzssaqa recomend,1
senter tai,1
wanokuni,1
hai,1
yuk yukk yukk httpsyoutubejgjhtoxrnpo,1
seru bgt liat ngonten gin kek tukang prabotan jdinya wkwkwk,0
gaskeun,1
pliissssss,1
tu,1
httpsyoutubeubyvlfbxgoe,1
greget,1
kaos bagus,1
realme ka penasaran harga qualitas,1
ohhhh anjay,1
semangat,0
yoi,1
mantap,1
cluster caslano,1
citra raya tangeranghome resort garden house type,1
luas lahan lega juta aja,1
lb lt,1
lb lt,1
mal ciputra tangerang,1
dp bayar juta langsung akad,1
video behind the scene iklan tokopedia gak,0
lampu rgb,1
definisi sulit hidup,1
deal,1
setujuhhhh,1
httpsyoutubedsgpejo bangga,1
hi hi hi barang aneh vibrator,1
spill tshirt hehe,0
nahh mantepp barang aneh lgi,0
asiappp,1
suka penutupnyaaaaa,0
kyaknya,1
haghaghag,1
nyimak,1
tai rgb aowkwkwkkwwkek,1
yaha,1
ohh anjay,1
wkwkwk,1
kocak,1
seru sih,1
linkhttpsyoutubeulvancsuog,1
heheyyy,1
keren,1
hahaha,1
cabut biji httpstokopedialinkwrymmalgsb barang bilang kalah fungsi alat httpstokopedialinktvdpgsb,1
hahaha,1
hallo,1
iya,1
wih,1
inget channel httpswwwyoutubecomwatchvggajmxwifcts,1
yuhuuii,1
iya,1
hahaha ngakak,1
seruuu,1
ahahaha,1
kerja praktek diam,1
telur,1
asiik,1
ketawa,1
ngakak,1
gercep,1
kangen,1
muncul,1
wajib pin,1
makan,1
video keren,1
keren,1
subscribe,1
first,1
absen,1
hadir,1
ribu,1
lupa,1
typo,1
ok,1
mnta link tokopedia nyaaa,1
memang,1
wadidaw,1
sukses,1
gila sih video httpsyoutubexwbfwqewh,1
kelasz,1
mantap euy,1
komen,1
dewa,1
hadir,1
tes,1
komen,1
yah gak peetama,1
yah gua lambat,1
nahh,1
kyahh,1
anjay,1
ketigax,1
tiga,1
no,1
gg,1
bohong tanboykun cuman promosi doang iklan bayar endor doang laptop andal endores,0
undang monster mukbang ajak makan carolina reaper,0
perut lu gede samudra asia,0
nonton bara hibur ngga kecewa,0
sok gigit tuh tim kameramen lu nggak daging wagyunya,0
muslim makan jgn bunyi,0
sambal pecah minyak risau sakit perut makan serum,0
am tengok video ni mmg cravings gila nak makan nasi lemakthis is nd times kun masak makan nasi lemakterbaiklahsalam dr malaysia,0
nkri harga tahi,0
malaysia panggil sambal tumis,1
salam sambal terasi brand uleg sambal nasi lemak malaysia,0
bilis bkn bilih hehehehe,0
kaka magdalena katholik agamanyasama klw gitu,0
tips istirahat fikiran,1
sehat sukses bara kak makdalena,1
tipes ga,0
moga bara sehat chanel berkem sam pe jt sebscriber,0
mukbang mie kuah pakai charolina reper,0
assalamualaikum,1
wow bikin ngiler,0
mukbang nasi padang,1
makan restoran iben,1
wkwk,1
hallo,1
mantap httpsyoutubeejyfakplyya,1
moga baca amiin,1
wanjay,1
hahhhaha,1
seru banget,1
salam sehat,1
eh sange maksud,1
mantap bar bar,1
video kun racun makan,1
bismillahirahmanirahimassalamualaikum mari samasama selawat baginda nabi muhammad sallallahu alaihi wasallam,1
video baru,1
mampir liat tambo kun bilang kenyanghttpsyoutubecomshortswzvjvvybpfeatureshare,1
kuy kuy bar,1
hadirrr,1
link beli alat masak kualitas rekomendasi artis merk steincookware,1
stein diamond kitchen knife in set pisau,1
tangerang httpsshopeeeeuqfef,1
bandung httpsshopeeefvmizhh,1
jakarta httpsshopeeeuabtbvjvs,1
surabaya httpsshopeeearcjnzhr,1
stein glow pan series httpsshopeeeuicksxax,1
stein flip spatula pink httpsshopeeezpxjlpftu,1
stein sutil spatula masak httpsshopeeeuxxdppl,1
stein steinsterilizer smart board indonesia httpsshopeeeoyejxwap,1
moga manfaat informasi cantik dapur bundabunda,1
steincookware,1
glowpan,1
steinsterilizer,1
moga gemplay ff meng hibur,1
cuman video tanboykun bilang kenyang,1
last fight httpsyoutubejyvwubjms,1
jngn cek chnl gw nnti cndu,1
moga sukses httpsyoutuberbppubcopw,1
duh enak,1
moga give away,1
assalamualaikum warahmatullahi wabarakatuh jazakumullah khair,1
hadir,1
hmm,1
like,1
pin gw,1
wowolwkwok,1
halo,1
banggg,1
wowww,1
mantappp,1
fist,1
wowwwww,1
mantapp bangg salam malaysia hadir tanda support selamat merdeka smuaa,0
nasi lemak riau,0
salam indonesia,0
mantap tamboikun,0
mantap,0
cinta pedas semenjak pas abis makan pedes trus muntah udh gsberani makan pedes,0
tips makan,1
makan saat lapar pagi jam malam makan,1
makan siang jam,1
onani kamar istri hubung intim biar sperma malam lemas pagi lapar,1
wih mantap gak cuman makan masak keren tanboykun,0
terima kasih salam serum,0
bara gimana tips biar makan gitu,0
bencong,1
mukbangnya gak kaya biyasanya,0
mantappppp,1
mantappppppp,1
ngiler bgt,1
untung makan enak,0
masak sambal nyannti sakit perut,0
pulau riau orang melayu nasi lemak riau daerah melayu khas sendiri cita nasi lemak,0
nemu aja ide,0
coba nasi liwet khas sunda,0
semangat konten,0
orang kuta kaltim nama sanga cabe cabe bumbu diboreng,0
mukbang istri lo,0
super mantap kak,1
super mantap,1
lucu,1
mantap,1
laper,1
bikin prank makan,0
ajak gua makan,0
oy colab ama creator,0
indonesia gak yah nasi lemak kota tegal provinsi jawa,0
ken nyoba gimana,0
haduh laparrrr,0
warga indonesia moga sihat,0
amin,1
nasi lemak indonesia,0
woi,1
komen,1
apasih,1
mantap,1
kun bikin ngiler aja,0
mukbang falshbeck pas lu kosan,0
gw tau lo sendawa,1
gw mantan subscribernya butuin subscriber doank sbg bkn kaum overproud bikin gw sadar kasih kpd org ga gw butuhin gw jg bljr tuh yutuber,1
ga butuh lu bro,1
seru seru langsung aja klik link gas linknya,1
mumbang mkn nasi padang lgenak nengokyjg ngiler,0
telor ayam sayur wowo makan enak iya coba nasih iya masak enak bikin coba coba sambel enak banget mantap iya benar oke kakaka habis makan iya suka nonton bareng rame komentar iya wowo mantapmatap kakak makan,1
bawang putih,1
bawang merah,1
cili kering,1
garam,1
gula,1
yann adp nkri harga tahi,1
kharisma nkri harga tahi,1
kharisma lo gak wkwkkw lembek,1
tq bro kun smga sht barokah,0
hadir mantul mantul,1
assalamualaikum hadir moga sehat,1
jajan makan kalimantan selatan bnyk makan khas,1
mantap,1
bagi,1
nyoba bikin nasi lemak mantap,0
pakek peyek mantap,0
malaysia kabupaten kah,0
uenakk lapar goda,0
kru balik layarsisain untk gua gua butuh makan,0
tanboyyuummmyyyyngedit gihh gua kasih,0
nasi lemak brutal,0
gokil nasi lemak sultan,0
tan boy kun sya orang malaysia recommended makan asam pedas malaysia makan nasi auto full sedappp,0
kun makan bakso lava donh,0
nasi lemak malaysia sedapnyaa,0
kingd fanny nkri harga tahi,1
mntp tampil juara dah lu sanggup moga sehat biar mukbang kyak gni,0
tumben makan dikit,0
cinta nasi lemak hadir speechless makan pake wagyu hahaha sultan benerrrr,0
bikin pgn aja neh bapack kos,0
santai aja ngab tanboyy pelan aja kek abad aja makan hehehe becanda,0
terima kasih bara bantu bikin vlog traveling ud byk nonton skg mudah antarin negeri,0
sedaap,1
nikmat,1
laperr,1
cangcut,1
ni orang kalo bab,1
rio firmansyah gw benci komen lu gimana,1
mantap abu salam malaysia,1
mantaaaap bgt,1
menit,0
perutt perutttukurannya perut gede ce,1
ngiler gua semangat konten moga sukses amiin,1
dimalaysia nasi lemak indonesia nasi uduk sambal tumis klu dikalbar pake tempe ikan teriikan bilis plus kacang tanah,1
judul gamenya,1
nama porsi dukun,1
halloo kak,1
cepat,1
wow,1
assalamualaikum,1
jos pulang sekolah laper laper,1
wih,1
ribu,1
mamaaaaa,1
hadir nomer,1
orang,1
hlo,1
woww mantap kali,1
gak komen,1
komen,1
ngiler,1
superrr istimewa,1
hii,1
kah,1
berapa wee,1
akuuu,1
sehat,1
hehe assalamualaikum,1
weee,1
pirst,1
maaf komen mending ngehargain orang jepang atauran tuhan makan gak berisik,1
kaya lembu lu kalo udh makanbibir lu udh doer,1
ramen ala itumah mah kek indomie wkwk,0
jgn sebar orang gak nutup aurat dpt sebab dosa jariah hps aja video,1
klo liat tipe mie gak autentik jepang liat ramen jepang banyak mie lurus,0
seruuu yaaa wenaaak,0
gw suka lo suap lo bilang bissmillah,0
salfok waiters duduk ngintip dr pintu gtuwkkkkk,0
udah napa nambah mulu gw kenyang wkwkwkwkw,0
ngintip dalem hati ngomong,0
salfok pengunjungpegawai ngerekam kun makan,0
ente kadang kadang ente habis mangkok ramen,0
xnxx komentar daerah negeri rumah iindo,1
pegawai ngintip,0
kun moga habis makan mie pantat gak numbuh bisul kayak gue,0
ngiler puuooolll httpsyoutubeejyfakplyya,1
ken ramen,0
ramen naruto,1
maksud,1
mantul httpsyoutubesuyqowltmym,1
mie ayam enak,1
yap betull,0
nan,1
naruto,1
ih,1
tuju like,1
wow,1
last fight httpsyoutubefhtnqeqqc,1
jepang,0
sukses semangat jalan hidup amin httpsyoutubemodirzimw,1
last fight httpsyoutubeyyfghy,1
video cewek viral tiktok,1
ubah matahari rumus matematika httpsyoutubetxkrvpq,1
bagi,1
link beli produk matras yoga mat alas olahraga karpet senam fitness brand,1
nation httpsshopeeezlwxtmuu,1
happyfit httpsshopeeepflozaz,1
lululemon httpsshopeeeukfebxufl,1
kiwikana httpsshopeeeanebq,1
light speed httpsshopeeeqqoca,1
goto httpsshopeeepfldgnfu,1
miniso httpsshopeeefxexogqrt,1
speeds httpsshopeeewtmytdwg,1
miisoo httpsshopeeevdolflutm,1
angola httpsshopeeekfsxhzsgt,1
samono httpsshopeeekqxlbuslr,1
sunmee httpsshopeeelfsdpu,1
agnite httpsshopeeelmwoadj,1
elfs anti licin httpsshopeeesucvul,1
hilon official httpsshopeeevewtyiqhn,1
uzair anti slip httpsshopeeezvrsqbgql,1
matras yoga httpsshopeeefjtfxn,1
ace berwyn httpsshopeeekjxlsef,1
antarestar httpsshopeeeqmbpru,1
svarga httpsshopeeepqubrl,1
nirvana httpsshopeeekbchnwam,1
kerokoo httpsshopeeewunhksc,1
decathlon httpsshopeeefojwnvji,1
manduka httpsshopeeepjdknty,1
liforme httpsshopeeeevvwnzv,1
kettler httpsshopeeekansns,1
moonchi httpsshopeeekqysfgzew,1
moga manfaat informasi,1
targetbodygoals workout senamaerobik,1
matras matrasolahraga yogamat alasyoga,1
alasolahraga karpetsenam karpetfitness,1
andimakuro wibu bau bawang,1
tanboykun mukbang babi httpsyoutubeebfuzne,1
uang hnya hp httpsyoutubewlexoweyk,1
kerennn,1
spam mulu sih,1
gw komen,1
mantul,1
anjay ngiler,1
lop ayang,1
ho oh tenan,1
brayyy,1
ken nyobain,1
yahhh kalah duluann,1
yah telat menit,1
mnit,1
tonton aj,1
first,1
tenan,1
jos,1
sehat,1
kon,1
salam belitang,1
salam dri belitung,1
kampung gw jga tuh,1
hooh tenan,1
semangat bangg,1
yohohoho,1
sehat,1
salfok kaos kaki beda lohada ngeh ga,0
vlog ketawa hahahaha thank you udah bikin mood positif pagi,0
kalo makan,0
lempeng banget dah,0
closingannya ngitung nginstruksiin sapa,0
kaos kaki beda belah,0
refleks duta lamar,0
melek parah lihat,0
obrol ringan seruuu,0
gk capek bolak jepang jakarta,0
itu kenalya koh rudi nggak nonton tanding badminton mumpung japan open waseda boys suruh nonton biar seru nonton badminton kasi tu kemot dkk kenal indonesia banding jepang,0
seruu bngt bikin konten day in my life ka jeromm,0
kak cantik bgt allah ihh,0
vidi aldiano banget minjemin raket suruh pilih raket putus bilang gapapa pantesan orang temennya,0
seru bikin gank aja,0
masyaallah moga manfaat berkah ilmu aamiin,0
ka vidi be like yes jadwal lamar wkwk,0
fadil pendek tinggi,0
jerrr jujur suka konsep vlog santai kayak ginii,0
balik keinget waseda boys pas main raket makan,0
seru banget,0
wahhhhhh duta persahabatannn,0
sebenernya vidi orang curiga vidi kuat super belah amoeba,0
upload video day in my life aja seru,0
rileks hibur,0
hahaha ngakak bgt mood bgt,0
seru seringsering vlog kaya gin,0
harta,1
tahta,1
seru bangeeeeeeeeeet daily lifenya aja inspirasi huhu banyakin konten giniiiiiiiiiii,0
seru bgt jeerrr bikin konten kaya gin yaa,0
prbedaan klo ngedit sndri edit orng,0
udah cringe edit lebay garing pas tonton enak simple gin,0
nyoba bekuin pacar biar gak bosen,0
erika jakarta kayak lg sibuk bangt smp ga sempet jaln brg,0
manusia,0
seru bgttt plis bikin lg konten random,0
tetep sukak jerr,0
salpok kaos kaki belah,0
vidi duta sahabat,0
woy bangun tidur aja gans parah,0
suka ngevlog gin,0
tunggu post konten jessica jane,0
suara keren bgt,0
geraldine woyy,0
full senyum nonton nyaaa,0
nexs dufan barang seru kali yaaa,0
bikin konten bareng erika ga sih,0
kangen banget konsep konten kayak gin serasa liat konten akun polin akun nihongo mantappu keren bangett jeromee,0
receh banget ngakak banget kaos kaki,0
fun fact aldiano alhamdulillah nongol,0
seru bgttttt wkwkwkwkwk,0
seru bgt pdhl durasiny lumayan asa cepet bgt,0
lamar,0
vlog bareng jessica jane ksk,0
waku waku,0
nungguin vlog bareng jane,0
asik bangett bikin pleasee,0
please more vlog jerrrr seru ama vidi,0
busettt mobil geraldine,0
ayo day in my life,0
ci jane,0
salting grogi mobil mainin tripod wkwk,0
ngumpul gin yak seru ngakak sih wkwkkw,0
kaos kaki beda belah woeeee wkwkwkwwk,0
laku rendem orang indo kalo bangun tidur,0
lukas selesai kuliah jepang,0
harusss olahragaa bareng lagiiiiii,0
ngehibur bgttt woii,0
join mabar hahaha,0
suka banget sm video,0
sumpaa lu inspirasi gua jeromeeee,0
selamat kak vidii kak anyaaaa bahaya circle tolong,0
nyambung aja receh wkkwkwkwkwk,0
asik bgt we pen gabung,0
dimanamana vidi,0
salam palembang,0
menariikkk,0
day in my life aja gausah daily vlog,0
malaysia,0
tunggu pasu ghoib,0
biasa,0
seringsering bikin konten day in my life gin bangg,0
seruu ayo kaya gin lagi hehe,0
suka konte jerom,0
tau singkat aldiano,0
sumpah nonton aja seruuuu,0
buy get seru abis ngakak bgt ngeliat randoman hahahahaha,0
aaaa seru banget banget bangett,0
fadil seru ngakak vidi randoman nyambungggg sukaaaa vidio iniii,0
cantik banget gilaaaa,0
vidi masuk semua circle mantabb euy,0
alhamdulillah nongol,0
bener humble deh sm fadil gak jaim wlopun ketemu,0
trio,0
video ketawa liat teman kak vidi kak fadil kak ama lanjut,0
konten ga nge bosenin hibur bikin ketawa sehat sehat,0
nice,0
kalo bangun tidur ingus,0
komen,1
waw ratus,1
yoooooooo,1
gercep,1
slalu hibur deh mahhh,1
wih gercep wk,1
gerceppp,1
like ratus dooong,1
smngt bikin konten,1
halo moga semangat bikin video,1
finaally,1
langsung cussss nonton kerandaman fadil vidi,1
kecepetan ini,1
aw,1
halooo,1
wanjayyy keduaaa,1
ngomen,1
yey,1
jakarta hadir,1
banget huuuuu,1
gile,1
ihiyyyy,1
waoowwww,1
septriani regita cahyani asli kota kabupaten,1
hallo salam kenal septriani regita cahyani,1
wew,1
pertamaaaa,1
komen,1
wehh,1
finally,1
ahhhh akhirnyaaa tayangggg,1
first ni,1
gercep jerrr,1
first hehehe,1
ngakak bgt,1
yuhuuu dtunggu up,1
nt kadang nt,1
suka bgt,1
telat ga niii,1
yaaa,1
jeromeee,1
haha,1
keren banget konte,1
halo ka,1
sapa ka team gercep nihh,1
haloo bangg,1
wuhuu upload,1
halo,1
first,1
firstt,1
first,1
waaa ditunggutunggu gercep bangett,1
baangg,1
asikk gercep lagiiiii,1
abang sayang,1
gercep bet,1
edit editor gais gausa panickk foto gugel,1
edit njir,1
klo edit mantep bngettt sh ngga tara woyy,1
aaaaaaa sungai ituu adek spupu ku sampe nang,0
kangen empat vlog dijepang,0
sempet lihat botol aqua ngambang aj orang sadar,0
gaes sadar ngga sh pas end video jalan plng yng ka nyorot tanah samping pohon bngett gaes ilanggg,0
gaes sadar ngga sh pas end video yng ka nyorot tanah samping pohon bngett gaes ilanggg,0
emng pocong situ,0
ken ikutaaan huhu,0
penasaran reaksi orang jepang lihat konten,0
ehhada horor gak siihhhkak liat menit dehpas kamera nunjukin depan pohon tuhkok kayak poci cobak ulang lohpas kamera eh gak deh poci jelasin takut salah liat,0
auto pake backsound bolang,0
link beli xiomi smart tv powered by android tv,1
shopee mall juta httpsshopeeefrbraev,1
layar inch juta httpsshopeeefglbbm,1
layar inch juta httpsshopeeeaefckdwvr,1
layar inch juta httpsshopeeeajqtxqgc,1
layar inch juta httpsshopeeeuduitnmr,1
menit tampak pocong,1
sumpah keren banget sungai kaya gin jaga banget asli alam,1
bersih sayang bgt td liat botolbotol bekas,1
bner liat,1
menit nyadar ga cepet bgt terbang baju putih asli merindiinnngggg akuuuuuuu takuttttt,1
kesana emang keren sih top,1
lumayan hibur nonton,0
eh pocong sih,0
ehh hantu pocong,0
suka bgd edit ngkk mulu,0
sih penampakanya,0
mooddd bgttt kalo yusuke bilang bahayaa wkwkwkwk,0
menit pocong menit miss kunti,0
cari gaharu panen madu aws entup tawon hahahaha bolang hehe medan minum air sumut air langsung minum hehe masq bulet tuk mas pingin bikin rumah mungil tepi sungai air terjun mandi langsung nyebur surga dunia joko tarup nawang wulan kslau situ ngga pulang hahaha gila hahaha sibuk kampung masq,1
sampah aqua air orang kssana sengaja kah buang sungai sayang banget pdhal air bersih,0
gak nyangka waseda boys tempat tempat gak ubah kesana kyaknya,0
kasi,1
liat pocong ngk sih,0
sampah botol warna air jernih,0
menit liat bgt,0
next time coba deh collab bareng tesei marukawa pamain bola jepang main liga indonesia,0
mata ku doang salah lihat coba slowmo menit,0
moga depan wisata kelola dgn jlur kyk gtu tingkat selamat ditingkatka biar maj,0
kocak bgt muka yusuke,0
otsuka gak channel youtube sii,0
kesiniiii,0
massa allah air jernih bgt,0
asa horror,0
pengennnnnnindah bangettttt,0
bagus bgt air bening,0
telepon kali nyambung tahu anak teman bahaya seru tuhan selamat sambung jesse bilang bhw mrk teriak mohon tolong tuhan situasi bayang tomo cerita bhw teriak mati,0
sedih bgttt pas liat sampah ngambang bagus tolonglahhh,0
sayang banget ngelihat sampah plastik sungai bersih,0
video habis series trip,0
yusuke emang kocak nonton seru banget liat reaksi waseda boys,0
gw like tuh,1
detik,1
pertamax,1
hi,1
semangat ngonten,0
sehat,0
yey,1
subs btw,1
kahhh,1
halooo,1
nohhh,1
hai kak,1
yey,1
gercep bundd,1
hello,1
beneran inimah,1
gg editor,0
ngeri njir,1
gassspolll,1
ga hitomi sepi,0
music theme mli klasiksangat nostalgic,0
ayo jt subscribers,0
seru bangettt hahahahagah,0
editor magang mli,0
makasih mas udah koleb bareng oscar oasis logika,0
satt serasa nonton channel mli,0
dustin ok bonceng aja tin lu bilang kagebunshin,0
the real zero logic,0
edit jerom polin mli bat wkwkwk,0
aja udah wahhh tretan,0
anjiirrr edit ken siaraan,0
rap kali duatin batuk,0
bikin ulah tretan muslim laku httpsyoutubezuvmhypqja,1
wadoh telat nnton ga liat notif,0
liat thumbnailnya aja udh ketawa,0
wkakakak,1
gasss,1
gin collab idola sayang dustin tretan,0
keren kolaborasi hyena kongo pawang,0
link beli iphone new shopee mall,1
jakarta utara ibox official pusat iphone httpsshopeeeqflibvg,1
jakarta selatan digimap official gratis ongkir rupiah,1
httpsshopeeelaoskdfr,1
jakarta utara erafone shopee httpsshopeeepzcftnyt,1
jakarta utara free ongkir rupiah httpsshopeeefjncvpgoj,1
moga manfaat temanteman,1
tes logika orang logic wkwkw,0
next colab dustin sony wakwaw,0
kombinasi duga,0
coba adu mekanik bene dion official klian bataks pintar dn cerdas,0
hasbul wafi kyknya dah httpsyoutubearmjclonk,1
serius nanya jepang nemu model kayak dustin gak,0
kalo gak nemu coba tolong bawa jepang cloning ken tau jepang,0
haloo,1
maaf konten pilih dustin wkwkwkw,0
setujuuu,1
collab terngakak,0
wkk,1
coba ajak colleb anak sma,0
kelasss,1
semangat kak,0
hai,1
nihhh,1
horas,1
wahhhhhh,1
bikin video reaction to upacara merdeka indonesia,0
ayok ramein gaes,1
vlog pulau samosir,1
httpsyoutubekammass,1
gaaaaasssss,1
horaaaaaaaaas,1
nias,0
semangat sumatra utara lupa kota,0
akirnya abang pulang kampung jugak,0
ubah nama rumus matematika httpsyoutuberzdlngle,1
mantaps,1
mntap,1
pin,1
komen,1
firs detik,1
kangen waseda boys,0
ga telat,1
partama,1
gajadi ekwkw,1
wowowowowowoowowowoowowowowowow,1
nihh kak sapa plss kak banggain mama kukoko ku papa ku,1
hallo,1
aujsjs,1
komen,1
komen mantap jiwa horassss,1
yuhuyyy,1
lu first,1
yaa,1
sehat semangat jugaa konten,0
lo first,1
lambattt,1
trlalu konten bikin bosan liat,0
suka ekspresi orang video sayang edukatif jelas makan direview tutup daging babi alas toleransi takut dislike teman konsumsi daging babi alas,0
